Entrada,Subentrada,Tipo,Acepción,Marcas,Definiciones,Clase gramatical,Primera división,Nodo básico,Nodo LexiMus,Nodo intermedio,Último nodo,,Última referencia atestiguada,Primera referencia lexicográfica académica
abaritonado,"abaritonado, da",adj.,1,,Dicho de la voz: Parecida a la del barítono.,Adjetivo,Música,Modificadores,Conceptos,∅,cualidades timbre,,,,
abaritonado,"abaritonado, da",adj.,2,,Dicho de un instrumento: Que tiene un sonido de timbre semejante al de la voz del barítono.,Adjetivo,Música,Modificadores,Conceptos,∅,cualidades timbre,,,,
abemolar,abemolar,tr.,2,Mús.,Poner bemoles.,Verbo,Música,Actividad,Conceptos,[evento],verbos de acción musical (específicos),,DRAE 1959 (Manual),,
acabe,acabe,m.,1,P. Rico,Fiesta con baile que los recolectores y demás peonajesde las haciendas de café celebran después de terminada larecolección del grano.,Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades no coreografiadas,,,,
accidental,accidental,m.,6,Mús.,accidente (‖ signo para alterar un sonido).,Sustantivo,Música,Producto,Símbolos,Dimensión espacial,alturas,,,,
accidente,accidente,m.,9,Mús.,"Cada uno de los tres signos, el sostenido, el bemol y el becuadro, con que se altera la tonalidad de un sonido.",Sustantivo,Música,Producto,Símbolos,Dimensión espacial,alturas,,DRAE 1914,,
acción,acción,f.,4,,"En el orador, el cantante y el actor, conjunto de actitudes, movimientos y gestos que acompañan la elocución o el canto.",Sustantivo,Música,Modificadores,Conceptos,∅,cualidades instrumentistas,,,,
acid,acid,adj.,1,,Perteneciente o relativo al acid house. Ritmo acid.,Adjetivo,Música,Modificadores,Conceptos,∅,cualidades polivalentes,,,,
acid,acid,m.,2,,acid house.,Sustantivo,Música,Producto,Conceptos,∅,estilos,,,,
acid house,acid house,m.,1,,"Estilo de música que surgió a finales de la década de 1980, caracterizado por su ritmo rápido y repetitivo y por el empleo de sintetizadores.",Sustantivo,Música,Producto,Conceptos,∅,estilos,,,,
acid jazz,acid jazz,m.,1,,Estilo de música que aúna el ritmo de jazz con el empleo de sintetizadores.,Sustantivo,Música,Producto,Conceptos,∅,estilos,,,,