name,id,path,gist_url
Los nombres de la música,los_nombres_de_la_musica,Los nombres de la música,https://gist.github.com/user/leximus_los_nombres_de_la_musica
La faceta eventiva de la música,la_faceta_eventiva_de_la_musica,Los nombres de la música/La faceta eventiva de la música,https://gist.github.com/user/leximus_la_faceta_eventiva_de_la_musica
"El evento, la acción o el proceso musical",el_evento_la_accion_o_el_proceso_musical,"Los nombres de la música/La faceta eventiva de la música/El evento, la acción o el proceso musical",https://gist.github.com/user/leximus_el_evento_la_accion_o_el_proceso_musical
"Verbos de acción y/o interpretación musical (generales, particulares o con carga valorativa)",verbos_de_accion_y_o_interpretacion_musical_generales_particulares_o_con_carga_valorativa,"Los nombres de la música/La faceta eventiva de la música/El evento, la acción o el proceso musical/Verbos de acción y/o interpretación musical (generales, particulares o con carga valorativa)",https://gist.github.com/user/leximus_verbos_de_accion_y_o_interpretacion_musical_generales_particulares_o_con_carga_valorativa
Verbos de percepción pasiva y/o activa,verbos_de_percepcion_pasiva_y_o_activa,"Los nombres de la música/La faceta eventiva de la música/El evento, la acción o el proceso musical/Verbos de percepción pasiva y/o activa",https://gist.github.com/user/leximus_verbos_de_percepcion_pasiva_y_o_activa
Verbos de manipulación,verbos_de_manipulacion,"Los nombres de la música/La faceta eventiva de la música/El evento, la acción o el proceso musical/Verbos de manipulación",https://gist.github.com/user/leximus_verbos_de_manipulacion
Verbos de fabricación y ajuste,verbos_de_fabricacion_y_ajuste,"Los nombres de la música/La faceta eventiva de la música/El evento, la acción o el proceso musical/Verbos de fabricación y ajuste",https://gist.github.com/user/leximus_verbos_de_fabricacion_y_ajuste
Verbos relacionados con la música como actividad empresarial,verbos_relacionados_con_la_musica_como_actividad_empresarial,"Los nombres de la música/La faceta eventiva de la música/El evento, la acción o el proceso musical/Verbos relacionados con la música como actividad empresarial",https://gist.github.com/user/leximus_verbos_relacionados_con_la_musica_como_actividad_empresarial
agentes y experimentadores,agentes_y_experimentadores,Los nombres de la música/La faceta eventiva de la música/agentes y experimentadores,https://gist.github.com/user/leximus_agentes_y_experimentadores
agentes,agentes,Los nombres de la música/La faceta eventiva de la música/agentes y experimentadores/agentes,https://gist.github.com/user/leximus_agentes
Productores,productores,Los nombres de la música/La faceta eventiva de la música/agentes y experimentadores/agentes/Productores,https://gist.github.com/user/leximus_productores
Agentes creadores o poiéticos,agentes_creadores_o_poieticos,Los nombres de la música/La faceta eventiva de la música/agentes y experimentadores/agentes/Productores/Agentes creadores o poiéticos,https://gist.github.com/user/leximus_agentes_creadores_o_poieticos
Agentes intérpretes,agentes_interpretes,Los nombres de la música/La faceta eventiva de la música/agentes y experimentadores/agentes/Productores/Agentes intérpretes,https://gist.github.com/user/leximus_agentes_interpretes
Agentes creadores e intérpretes,agentes_creadores_e_interpretes,Los nombres de la música/La faceta eventiva de la música/agentes y experimentadores/agentes/Productores/Agentes creadores e intérpretes,https://gist.github.com/user/leximus_agentes_creadores_e_interpretes
Agentes según su función,agentes_segun_su_funcion,Los nombres de la música/La faceta eventiva de la música/agentes y experimentadores/agentes/Productores/Agentes según su función,https://gist.github.com/user/leximus_agentes_segun_su_funcion
Agentes instrumentistas,agentes_instrumentistas,Los nombres de la música/La faceta eventiva de la música/agentes y experimentadores/agentes/Productores/Agentes instrumentistas,https://gist.github.com/user/leximus_agentes_instrumentistas
Agentes colectivos,agentes_colectivos,Los nombres de la música/La faceta eventiva de la música/agentes y experimentadores/agentes/Productores/Agentes colectivos,https://gist.github.com/user/leximus_agentes_colectivos
Agentes según su habilidad creadora o interpretativa,agentes_segun_su_habilidad_creadora_o_interpretativa,Los nombres de la música/La faceta eventiva de la música/agentes y experimentadores/agentes/Productores/Agentes según su habilidad creadora o interpretativa,https://gist.github.com/user/leximus_agentes_segun_su_habilidad_creadora_o_interpretativa
No productores,no_productores,Los nombres de la música/La faceta eventiva de la música/agentes y experimentadores/agentes/No productores,https://gist.github.com/user/leximus_no_productores
"Científicos, comentaristas y pedagogos",cientificos_comentaristas_y_pedagogos,"Los nombres de la música/La faceta eventiva de la música/agentes y experimentadores/agentes/No productores/Científicos, comentaristas y pedagogos",https://gist.github.com/user/leximus_cientificos_comentaristas_y_pedagogos
Constructores,constructores,Los nombres de la música/La faceta eventiva de la música/agentes y experimentadores/agentes/No productores/Constructores,https://gist.github.com/user/leximus_constructores
Empresarios y gestores,empresarios_y_gestores,Los nombres de la música/La faceta eventiva de la música/agentes y experimentadores/agentes/No productores/Empresarios y gestores,https://gist.github.com/user/leximus_empresarios_y_gestores
experimentadores,experimentadores,Los nombres de la música/La faceta eventiva de la música/agentes y experimentadores/experimentadores,https://gist.github.com/user/leximus_experimentadores
El resultado del evento musical,el_resultado_del_evento_musical,Los nombres de la música/La faceta eventiva de la música/El resultado del evento musical,https://gist.github.com/user/leximus_el_resultado_del_evento_musical
Los instrumentos y medios materiales de la acción musical,los_instrumentos_y_medios_materiales_de_la_accion_musical,Los nombres de la música/La faceta eventiva de la música/Los instrumentos y medios materiales de la acción musical,https://gist.github.com/user/leximus_los_instrumentos_y_medios_materiales_de_la_accion_musical
Familias organológicas,familias_organologicas,Los nombres de la música/La faceta eventiva de la música/Los instrumentos y medios materiales de la acción musical/Familias organológicas,https://gist.github.com/user/leximus_familias_organologicas
Idiófonos (y sus componentes),idiofonos_y_sus_componentes,Los nombres de la música/La faceta eventiva de la música/Los instrumentos y medios materiales de la acción musical/Familias organológicas/Idiófonos (y sus componentes),https://gist.github.com/user/leximus_idiofonos_y_sus_componentes
Membranófonos (y sus componentes),membranofonos_y_sus_componentes,Los nombres de la música/La faceta eventiva de la música/Los instrumentos y medios materiales de la acción musical/Familias organológicas/Membranófonos (y sus componentes),https://gist.github.com/user/leximus_membranofonos_y_sus_componentes
Cordófonos (y sus componentes),cordofonos_y_sus_componentes,Los nombres de la música/La faceta eventiva de la música/Los instrumentos y medios materiales de la acción musical/Familias organológicas/Cordófonos (y sus componentes),https://gist.github.com/user/leximus_cordofonos_y_sus_componentes
Aerófonos (y sus componentes),aerofonos_y_sus_componentes,Los nombres de la música/La faceta eventiva de la música/Los instrumentos y medios materiales de la acción musical/Familias organológicas/Aerófonos (y sus componentes),https://gist.github.com/user/leximus_aerofonos_y_sus_componentes
Electrófonos (y sus componentes),electrofonos_y_sus_componentes,Los nombres de la música/La faceta eventiva de la música/Los instrumentos y medios materiales de la acción musical/Familias organológicas/Electrófonos (y sus componentes),https://gist.github.com/user/leximus_electrofonos_y_sus_componentes
Otros dispositivos organológicos,otros_dispositivos_organologicos,Los nombres de la música/La faceta eventiva de la música/Los instrumentos y medios materiales de la acción musical/Familias organológicas/Otros dispositivos organológicos,https://gist.github.com/user/leximus_otros_dispositivos_organologicos
Otros medios materiales que facilitan la actividad musical,otros_medios_materiales_que_facilitan_la_actividad_musical,Los nombres de la música/La faceta eventiva de la música/Los instrumentos y medios materiales de la acción musical/Otros medios materiales que facilitan la actividad musical,https://gist.github.com/user/leximus_otros_medios_materiales_que_facilitan_la_actividad_musical
Otros dispositivos empleados para la grabación y reproducción,otros_dispositivos_empleados_para_la_grabacion_y_reproduccion,Los nombres de la música/La faceta eventiva de la música/Los instrumentos y medios materiales de la acción musical/Otros dispositivos empleados para la grabación y reproducción,https://gist.github.com/user/leximus_otros_dispositivos_empleados_para_la_grabacion_y_reproduccion
Las [localizaciones] donde se produce el evento musical],las_localizaciones_donde_se_produce_el_evento_musical,Los nombres de la música/La faceta eventiva de la música/Las [localizaciones] donde se produce el evento musical],https://gist.github.com/user/leximus_las_localizaciones_donde_se_produce_el_evento_musical
Espacios de la música,espacios_de_la_musica,Los nombres de la música/La faceta eventiva de la música/Las [localizaciones] donde se produce el evento musical]/Espacios de la música,https://gist.github.com/user/leximus_espacios_de_la_musica
Ubicaciones espacio-temporales,ubicaciones_espacio_temporales,Los nombres de la música/La faceta eventiva de la música/Las [localizaciones] donde se produce el evento musical]/Ubicaciones espacio-temporales,https://gist.github.com/user/leximus_ubicaciones_espacio_temporales
La música como ente acústico,la_musica_como_ente_acustico,Los nombres de la música/La música como ente acústico,https://gist.github.com/user/leximus_la_musica_como_ente_acustico
Dimensión espacial del dato sonoro,dimension_espacial_del_dato_sonoro,Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro,https://gist.github.com/user/leximus_dimension_espacial_del_dato_sonoro
Alturas o notas musicales y alteraciones,alturas_o_notas_musicales_y_alteraciones,Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro/Alturas o notas musicales y alteraciones,https://gist.github.com/user/leximus_alturas_o_notas_musicales_y_alteraciones
Cualidades acústicas del dato sonoro o derivadas de la serie armónica,cualidades_acusticas_del_dato_sonoro_o_derivadas_de_la_serie_armonica,Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro/Cualidades acústicas del dato sonoro o derivadas de la serie armónica,https://gist.github.com/user/leximus_cualidades_acusticas_del_dato_sonoro_o_derivadas_de_la_serie_armonica
Sistemas de afinación,sistemas_de_afinacion,Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro/Sistemas de afinación,https://gist.github.com/user/leximus_sistemas_de_afinacion
Interválica y su percepción psico auditiva,intervalica_y_su_percepcion_psico_auditiva,Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro/Interválica y su percepción psico auditiva,https://gist.github.com/user/leximus_intervalica_y_su_percepcion_psico_auditiva
Escalas y grados de la escala,escalas_y_grados_de_la_escala,Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro/Escalas y grados de la escala,https://gist.github.com/user/leximus_escalas_y_grados_de_la_escala
Modos,modos,Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro/Modos,https://gist.github.com/user/leximus_modos
Armonía,armonia,Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro/Armonía,https://gist.github.com/user/leximus_armonia
Combinaciones de dos notas/Intervalos,combinaciones_de_dos_notas_intervalos,Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro/Armonía/Combinaciones de dos notas/Intervalos,https://gist.github.com/user/leximus_combinaciones_de_dos_notas_intervalos
Grados del acorde,grados_del_acorde,Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro/Armonía/Grados del acorde,https://gist.github.com/user/leximus_grados_del_acorde
Acordes,acordes,Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro/Armonía/Acordes,https://gist.github.com/user/leximus_acordes
Según el número de notas,segun_el_numero_de_notas,Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro/Armonía/Acordes/Según el número de notas,https://gist.github.com/user/leximus_segun_el_numero_de_notas
Según la configuración interna,segun_la_configuracion_interna,Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro/Armonía/Acordes/Según la configuración interna,https://gist.github.com/user/leximus_segun_la_configuracion_interna
Según su función,segun_su_funcion,Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro/Armonía/Acordes/Según su función,https://gist.github.com/user/leximus_segun_su_funcion
Acordes individuados,acordes_individuados,Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro/Armonía/Acordes/Acordes individuados,https://gist.github.com/user/leximus_acordes_individuados
Inversiones y disposiciones del acorde,inversiones_y_disposiciones_del_acorde,Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro/Armonía/Acordes/Inversiones y disposiciones del acorde,https://gist.github.com/user/leximus_inversiones_y_disposiciones_del_acorde
Otros acordes marcados,otros_acordes_marcados,Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro/Armonía/Acordes/Otros acordes marcados,https://gist.github.com/user/leximus_otros_acordes_marcados
Tonalidades / Modos,tonalidades_modos,Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro/Armonía/Tonalidades / Modos,https://gist.github.com/user/leximus_tonalidades_modos
Funciones o relaciones tonales,funciones_o_relaciones_tonales,Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro/Armonía/Funciones o relaciones tonales,https://gist.github.com/user/leximus_funciones_o_relaciones_tonales
Derivadas melódicas de las estructuras armónicas,derivadas_melodicas_de_las_estructuras_armonicas,Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro/Armonía/Derivadas melódicas de las estructuras armónicas,https://gist.github.com/user/leximus_derivadas_melodicas_de_las_estructuras_armonicas
Técnicas compositivas relativas a la armonía,tecnicas_compositivas_relativas_a_la_armonia,Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro/Armonía/Técnicas compositivas relativas a la armonía,https://gist.github.com/user/leximus_tecnicas_compositivas_relativas_a_la_armonia
Símbolos y convenciones gráficas de la notación musical relativos a la dimensión espacial de la música,simbolos_y_convenciones_graficas_de_la_notacion_musical_relativos_a_la_dimension_espacial_de_la_musica,Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro/Símbolos y convenciones gráficas de la notación musical relativos a la dimensión espacial de la música,https://gist.github.com/user/leximus_simbolos_y_convenciones_graficas_de_la_notacion_musical_relativos_a_la_dimension_espacial_de_la_musica
Técnicas o sistemas empleados para cifrar acordes o codificar información armónica,tecnicas_o_sistemas_empleados_para_cifrar_acordes_o_codificar_informacion_armonica,Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro/Técnicas o sistemas empleados para cifrar acordes o codificar información armónica,https://gist.github.com/user/leximus_tecnicas_o_sistemas_empleados_para_cifrar_acordes_o_codificar_informacion_armonica
"Ornamentos, alteraciones o modificaciones relativas a la afinación de las alturas musicales lexicalizadas y/o convencionalizadas como indicaciones interpretativas",ornamentos_alteraciones_o_modificaciones_relativas_a_la_afinacion_de_las_alturas_musicales_lexicalizadas_y_o_convencionalizadas_como_indicaciones_interpretativas,"Los nombres de la música/La música como ente acústico/Dimensión espacial del dato sonoro/Ornamentos, alteraciones o modificaciones relativas a la afinación de las alturas musicales lexicalizadas y/o convencionalizadas como indicaciones interpretativas",https://gist.github.com/user/leximus_ornamentos_alteraciones_o_modificaciones_relativas_a_la_afinacion_de_las_alturas_musicales_lexicalizadas_y_o_convencionalizadas_como_indicaciones_interpretativas
Dimensión temporal del dato sonoro,dimension_temporal_del_dato_sonoro,Los nombres de la música/La música como ente acústico/Dimensión temporal del dato sonoro,https://gist.github.com/user/leximus_dimension_temporal_del_dato_sonoro
"Figuras rítmicas, silencios y divisiones de las figuras rítmicas",figuras_ritmicas_silencios_y_divisiones_de_las_figuras_ritmicas,"Los nombres de la música/La música como ente acústico/Dimensión temporal del dato sonoro/Figuras rítmicas, silencios y divisiones de las figuras rítmicas",https://gist.github.com/user/leximus_figuras_ritmicas_silencios_y_divisiones_de_las_figuras_ritmicas
Compases,compases,Los nombres de la música/La música como ente acústico/Dimensión temporal del dato sonoro/Compases,https://gist.github.com/user/leximus_compases
Tipos de compases,tipos_de_compases,Los nombres de la música/La música como ente acústico/Dimensión temporal del dato sonoro/Compases/Tipos de compases,https://gist.github.com/user/leximus_tipos_de_compases
Tiempos del compás,tiempos_del_compas,Los nombres de la música/La música como ente acústico/Dimensión temporal del dato sonoro/Compases/Tiempos del compás,https://gist.github.com/user/leximus_tiempos_del_compas
Fenómenos contramétricos,fenomenos_contrametricos,Los nombres de la música/La música como ente acústico/Dimensión temporal del dato sonoro/Compases/Fenómenos contramétricos,https://gist.github.com/user/leximus_fenomenos_contrametricos
"Ornamentos, alteraciones o modificaciones relativas a las figuras musicales o el ritmo en general",ornamentos_alteraciones_o_modificaciones_relativas_a_las_figuras_musicales_o_el_ritmo_en_general,"Los nombres de la música/La música como ente acústico/Dimensión temporal del dato sonoro/Ornamentos, alteraciones o modificaciones relativas a las figuras musicales o el ritmo en general",https://gist.github.com/user/leximus_ornamentos_alteraciones_o_modificaciones_relativas_a_las_figuras_musicales_o_el_ritmo_en_general
Combinaciones rítmicas,combinaciones_ritmicas,Los nombres de la música/La música como ente acústico/Dimensión temporal del dato sonoro/Combinaciones rítmicas,https://gist.github.com/user/leximus_combinaciones_ritmicas
Células rítmicas,celulas_ritmicas,Los nombres de la música/La música como ente acústico/Dimensión temporal del dato sonoro/Combinaciones rítmicas/Células rítmicas,https://gist.github.com/user/leximus_celulas_ritmicas
Patrones y esquemas rítmicos o grooves,patrones_y_esquemas_ritmicos_o_grooves,Los nombres de la música/La música como ente acústico/Dimensión temporal del dato sonoro/Combinaciones rítmicas/Patrones y esquemas rítmicos o grooves,https://gist.github.com/user/leximus_patrones_y_esquemas_ritmicos_o_grooves
Tempo musical,tempo_musical,Los nombres de la música/La música como ente acústico/Dimensión temporal del dato sonoro/Tempo musical,https://gist.github.com/user/leximus_tempo_musical
